year_index,2023,2024
utility_id_eia,utility_id,utility_id
utility_name_eia,utility_name,utility_name
plant_id_eia,plant_code,plant_code
plant_name_eia,plant_name,plant_name
state,state,state
county,county,county
generator_id,generator_id,generator_id
operational_status_code,status,status
technology_description,technology,technology
prime_mover_code,prime_mover,prime_mover
sector_name_eia,sector_name,sector_name
sector_id_eia,sector,sector
capacity_mw,nameplate_capacity_mw,nameplate_capacity_mw
summer_capacity_mw,summer_capacity_mw,summer_capacity_mw
winter_capacity_mw,winter_capacity_mw,winter_capacity_mw
current_planned_generator_operating_month,current_month,current_month
current_planned_generator_operating_year,current_year,current_year
energy_storage_capacity_mwh,nameplate_energy_capacity_mwh,nameplate_energy_capacity_mwh
max_charge_rate_mw,maximum_charge_rate_mw,maximum_charge_rate_mw
max_discharge_rate_mw,maximum_discharge_rate_mw,maximum_discharge_rate_mw
storage_technology_code_1,storage_technology_1,storage_technology_1
storage_technology_code_2,storage_technology_2,storage_technology_2
storage_technology_code_3,storage_technology_3,storage_technology_3
storage_technology_code_4,storage_technology_4,storage_technology_4
reactive_power_output_mvar,nameplate_reactive_power_rating,nameplate_reactive_power_rating
storage_enclosure_code,storage_enclosure_type,storage_enclosure_type
served_arbitrage,arbitrage,arbitrage
served_frequency_regulation,frequency_regulation,frequency_regulation
served_load_following,load_following,load_following
served_ramping_spinning_reserve,ramping_spinning_reserve,ramping_spinning_reserve
served_co_located_renewable_firming,co_located_renewable_firming,co_located_renewable_firming
served_transmission_and_distribution_deferral,transmission_and_distribution_deferral,transmission_and_distribution_deferral
served_system_peak_shaving,system_peak_shaving,system_peak_shaving
served_load_management,load_management,load_management
served_voltage_or_reactive_power_support,voltage_or_reactive_power_support,voltage_or_reactive_power_support
served_backup_power,backup_power,backup_power
stored_excess_wind_and_solar_generation,excess_wind_and_solar_generation,excess_wind_and_solar_generation
is_ac_coupled,ac_coupled,ac_coupled
is_independent,independent,independent
is_direct_support,direct_support_of_another_unit,direct_support_of_another_unit
plant_id_eia_direct_support_1,direct_support_plant_id_1,direct_support_plant_id_1
generator_id_direct_support_1,direct_support_gen_id_1,direct_support_gen_id_1
plant_id_eia_direct_support_2,direct_support_plant_id_2,direct_support_plant_id_2
generator_id_direct_support_2,direct_support_gen_id_2,direct_support_gen_id_2
plant_id_eia_direct_support_3,direct_support_plant_id_3,direct_support_plant_id_3
generator_id_direct_support_3,direct_support_gen_id_3,direct_support_gen_id_3
is_transmission_and_distribution_asset_support,support_t_d_asset,support_t_d_asset
is_dc_coupled,dc_coupled,dc_coupled
id_dc_coupled_tightly,dc_tightly_coupled,dc_tightly_coupled
